sale_date,sku,product_name,category,brand,store_name,city,region,supplier_name,supplier_country,quantity,unit_price
2024-07-23,SKU-004,Cold Brew Coffee 330ml,Beverages,Pilot Coffee,Metro Fresh,Montreal,Quebec,Premium Brands,Canada,1,7.12
2024-11-27,SKU-003,Free Range Eggs 12pk,Dairy,Burnbrae Farms,FreshMart Uptown,Ottawa,Ontario,Lantic Inc,Canada,18,8.32
2023-07-09,SKU-013,Oat Milk 1L,Beverages,Oatly,FreshMart Westside,Vancouver,British Columbia,Maple Leaf Foods,Canada,25,2.6
2024-06-25,SKU-014,Avocado each,Produce,Fresh Direct,FreshMart Westside,Vancouver,British Columbia,Premium Brands,Canada,3,6.56
2023-06-11,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Downtown,Toronto,Ontario,Lantic Inc,Canada,36,11.69
2024-01-29,SKU-011,Almond Butter 500g,Pantry,Maranatha,Prairie Pantry,Calgary,Alberta,Gordon Food Service,Canada,46,7.02
2023-06-13,SKU-011,Almond Butter 500g,Pantry,Maranatha,GreenGrocer Midtown,Toronto,Ontario,Gordon Food Service,Canada,15,7.02
2025-01-17,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,FreshMart Westside,Vancouver,British Columbia,Lantic Inc,Canada,11,22.51
2023-05-27,SKU-004,Cold Brew Coffee 330ml,Beverages,Pilot Coffee,FreshMart Uptown,Ottawa,Ontario,Gordon Food Service,Canada,39,7.12
2023-12-01,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,FreshMart Uptown,Ottawa,Ontario,Sysco Canada,Canada,30,11.69
2024-03-25,SKU-015,Rotisserie Chicken,Deli,In-store,FreshMart Uptown,Ottawa,Ontario,Premium Brands,Canada,44,16.94
2023-03-07,SKU-013,Oat Milk 1L,Beverages,Oatly,FreshMart Downtown,Toronto,Ontario,Sysco Canada,Canada,21,2.6
2024-10-06,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,GreenGrocer Midtown,Toronto,Ontario,Premium Brands,Canada,14,2.57
2023-10-20,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,FreshMart Uptown,Ottawa,Ontario,Lantic Inc,Canada,17,22.51
2024-06-22,SKU-012,Frozen Edamame 400g,Frozen,President's Choice,Prairie Pantry,Calgary,Alberta,Premium Brands,Canada,48,13.61
2025-01-11,SKU-015,Rotisserie Chicken,Deli,In-store,Prairie Pantry,Calgary,Alberta,Lantic Inc,Canada,15,16.94
2023-07-06,SKU-003,Free Range Eggs 12pk,Dairy,Burnbrae Farms,Prairie Pantry,Calgary,Alberta,Lantic Inc,Canada,49,8.32
2025-05-14,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,GreenGrocer Midtown,Toronto,Ontario,Sysco Canada,Canada,39,2.57
2025-12-19,SKU-007,Baby Spinach 142g,Produce,Earthbound Farm,Prairie Pantry,Calgary,Alberta,Lantic Inc,Canada,17,22.51
2024-06-30,SKU-014,Avocado each,Produce,Fresh Direct,FreshMart Downtown,Toronto,Ontario,Maple Leaf Foods,Canada,50,6.56
2023-11-20,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,FreshMart Westside,Vancouver,British Columbia,Lantic Inc,Canada,30,2.57
2025-10-22,SKU-012,Frozen Edamame 400g,Frozen,President's Choice,FreshMart Uptown,Ottawa,Ontario,Gordon Food Service,Canada,-9,13.61
2025-11-05,SKU-014,Avocado each,Produce,Fresh Direct,FreshMart Uptown,Ottawa,Ontario,Gordon Food Service,Canada,39,6.56
2025-12-22,SKU-006,Atlantic Salmon Fillet 400g,Seafood,Ocean Choice,GreenGrocer Midtown,Toronto,Ontario,Premium Brands,Canada,1,17.55
2025-01-13,SKU-008,Aged Cheddar 400g,Dairy,Black Diamond,FreshMart Downtown,Toronto,Ontario,Maple Leaf Foods,Canada,20,3.99
2023-06-25,SKU-004,Cold Brew Coffee 330ml,Beverages,Pilot Coffee,Prairie Pantry,Calgary,Alberta,Maple Leaf Foods,Canada,47,7.12
2023-09-20,SKU-002,Sourdough Bread 750g,Bakery,ACE Bakery,Prairie Pantry,Calgary,Alberta,Sysco Canada,Canada,43,2.57
2025-12-16,SKU-009,Sparkling Water 6pk,Beverages,San Pellegrino,GreenGrocer Midtown,Toronto,Ontario,Gordon Food Service,Canada,39,11.69
2024-09-30,SKU-004,Cold Brew Coffee 330ml,Beverages,Pilot Coffee,Prairie Pantry,Calgary,Alberta,Sysco Canada,Canada,26,7.12
